Voucher Type,Invoice No,Date,Ref,Dr Account,Cr.Account,Cost Center,Amount,Narration
sales,6264,30-07-2014,00645 / SEW,,Agency charges,00645 / SEW,3800,JOBNO:00645/ AWB/BL.NO.:HLCUSTR140511842 dt.09/06/2014/ BE.NO.:6193110 dt.22/07/2014/ 0011166X-CLOSING CAP W4300 1-110*12 (FOR GEAR ENGINE)  (ACTUAL USER) ( 10 PCS @ EUR 2.98 / PCS)/ 92 CAS/14054.038 KGS/ ,
sales,6264,30-07-2014,00645 / SEW,,Documentation charges,00645 / SEW,800,JOBNO:00645/ AWB/BL.NO.:HLCUSTR140511842 dt.09/06/2014/ BE.NO.:6193110 dt.22/07/2014/ 0011166X-CLOSING CAP W4300 1-110*12 (FOR GEAR ENGINE)  (ACTUAL USER) ( 10 PCS @ EUR 2.98 / PCS)/ 92 CAS/14054.038 KGS/ ,
sales,6264,30-07-2014,00645 / SEW,,Labour Charges,00645 / SEW,500,JOBNO:00645/ AWB/BL.NO.:HLCUSTR140511842 dt.09/06/2014/ BE.NO.:6193110 dt.22/07/2014/ 0011166X-CLOSING CAP W4300 1-110*12 (FOR GEAR ENGINE)  (ACTUAL USER) ( 10 PCS @ EUR 2.98 / PCS)/ 92 CAS/14054.038 KGS/ ,
sales,6264,30-07-2014,00645 / SEW,,Service Tax,00645 / SEW,630.36,JOBNO:00645/ AWB/BL.NO.:HLCUSTR140511842 dt.09/06/2014/ BE.NO.:6193110 dt.22/07/2014/ 0011166X-CLOSING CAP W4300 1-110*12 (FOR GEAR ENGINE)  (ACTUAL USER) ( 10 PCS @ EUR 2.98 / PCS)/ 92 CAS/14054.038 KGS/ ,
sales,6265,30-07-2014,00645 / SEW,SEW EURODRIVE INDIA PVT LTD,,00645 / SEW,8245,JOBNO:00645/ AWB/BL.NO.:HLCUSTR140511842 dt.09/06/2014/ BE.NO.:6193110 dt.22/07/2014/ 0011166X-CLOSING CAP W4300 1-110*12 (FOR GEAR ENGINE)  (ACTUAL USER) ( 10 PCS @ EUR 2.98 / PCS)/ 92 CAS/14054.038 KGS/ ,
sales,6265,30-07-2014,00645 / SEW,,Transport Charges,00645 / SEW,8245,JOBNO:00645/ AWB/BL.NO.:HLCUSTR140511842 dt.09/06/2014/ BE.NO.:6193110 dt.22/07/2014/ 0011166X-CLOSING CAP W4300 1-110*12 (FOR GEAR ENGINE)  (ACTUAL USER) ( 10 PCS @ EUR 2.98 / PCS)/ 92 CAS/14054.038 KGS/ ,
sales,6265,30-07-2014,00645 / SEW,,Service Tax,00645 / SEW,0,JOBNO:00645/ AWB/BL.NO.:HLCUSTR140511842 dt.09/06/2014/ BE.NO.:6193110 dt.22/07/2014/ 0011166X-CLOSING CAP W4300 1-110*12 (FOR GEAR ENGINE)  (ACTUAL USER) ( 10 PCS @ EUR 2.98 / PCS)/ 92 CAS/14054.038 KGS/ ,
sales,6266,30-07-2014,00946 / SEW,SEW EURODRIVE INDIA PVT LTD,,00946 / SEW,2247.2,JOBNO:00946/ AWB/BL.NO.:02076057752 dt.23/07/2014/ BE.NO.:6253976 dt.28/07/2014/ SEW - MFT71D12(FOR GEAR ENGINE) ( ACTUAL USER)/ 35 PKG/967.500 KGS/ ,
sales,6266,30-07-2014,00946 / SEW,,Agency charges,00946 / SEW,1100,JOBNO:00946/ AWB/BL.NO.:02076057752 dt.23/07/2014/ BE.NO.:6253976 dt.28/07/2014/ SEW - MFT71D12(FOR GEAR ENGINE) ( ACTUAL USER)/ 35 PKG/967.500 KGS/ ,
sales,6266,30-07-2014,00946 / SEW,,Documentation charges,00946 / SEW,600,JOBNO:00946/ AWB/BL.NO.:02076057752 dt.23/07/2014/ BE.NO.:6253976 dt.28/07/2014/ SEW - MFT71D12(FOR GEAR ENGINE) ( ACTUAL USER)/ 35 PKG/967.500 KGS/ ,
sales,6266,30-07-2014,00946 / SEW,,Labour Charges,00946 / SEW,300,JOBNO:00946/ AWB/BL.NO.:02076057752 dt.23/07/2014/ BE.NO.:6253976 dt.28/07/2014/ SEW - MFT71D12(FOR GEAR ENGINE) ( ACTUAL USER)/ 35 PKG/967.500 KGS/ ,
sales,6266,30-07-2014,00946 / SEW,,Service Tax,00946 / SEW,247.2,JOBNO:00946/ AWB/BL.NO.:02076057752 dt.23/07/2014/ BE.NO.:6253976 dt.28/07/2014/ SEW - MFT71D12(FOR GEAR ENGINE) ( ACTUAL USER)/ 35 PKG/967.500 KGS/ ,
sales,6267,30-07-2014,00946 / SEW,SEW EURODRIVE INDIA PVT LTD,,00946 / SEW,5019,JOBNO:00946/ AWB/BL.NO.:02076057752 dt.23/07/2014/ BE.NO.:6253976 dt.28/07/2014/ SEW - MFT71D12(FOR GEAR ENGINE) ( ACTUAL USER)/ 35 PKG/1047.6KGS/ 00945,00946,
sales,6267,30-07-2014,00946 / SEW,,Transport Charges,00946 / SEW,5019,JOBNO:00946/ AWB/BL.NO.:02076057752 dt.23/07/2014/ BE.NO.:6253976 dt.28/07/2014/ SEW - MFT71D12(FOR GEAR ENGINE) ( ACTUAL USER)/ 35 PKG/1047.6KGS/ 00945,00946,
